Nombre
Afganistan
Albania
Alemania
Andorra
Angola
Anguilla
Antigua y Barbuda
Antillas Holandesas
Arabia Saudi
Argelia
Argentina
Armenia
Aruba
Australia
Austria
Azerbayan
Bahamas
Bahrain
Bangladesh
Barbados
Belgica
Belice
Benin
Bermudas
Bielorrusia
Bolivia
Bosnia - Herzegovina
Botswana
Brasil
Brunei
Bulgaria
Burkina Faso
Burma (Myanmar)
Burundi
Butan
Cabo Verde
Camboya
Camerun
Canada
Chad
Chile
China
Chipre
Colombia
Comoros
Congo
Corea del Norte
Corea del Sur
Costa de Marfil
Costa Rica
Croacia
Cuba
Dinamarca
Dominica
Ecuador
Egipto
El Salvador
Emiratos Arabes Unidos
Eritrea
Eslovaquia
Eslovenia
España
Estados Unidos
Estonia
Etiopia
Fiji
Filipinas
Finlandia
Francia
Gabon
Gambia
Georgia
Ghana
Gibraltar
Granada
Grecia
Groenlandia
Guadalupe
Guam
Guatemala
Guayana
Guayana Francesa
Guinea
Guinea Ecuatorial
Guinea-Bissau
Haiti
Holanda
Honduras
Hong Kong
Hungria
I. Caiman
I. Cocos (Keeling)
I. Cook
I. Feroe
I. Galapagos
I. Malvinas
I. Marianas del Norte
I. Marshall
I. Reunion
I. Salomon
I. Virgenes Britanicas
I. Virgenes EEUU
I. Wallis y Futuna
India
Indonesia
Iran
Iraq
Irlanda
Islandia
Israel
Italia
Jamaica
Japon
Jordania
Kazajistan
Kenia
Kirguizistan
Kiribati
Kuwait
Laos
Lesotho
Letonia
Libano
Liberia
Libia
Liechtenstein
Lituania
Luxemburgo
Macao
Macedonia
Madagascar
Malasia
Malawi
Maldivas
Mali
Malta
Marruecos
Martinica
Mauricio
Mauritania
Mexico
Micronesia
Moldavia
Monaco
Mongolia
Montserrat
Mozambique
Namibia
Nauru
Nepal
Nicaragua
Niger
Nigeria
Noruega
Nueva Caledonia
Nueva Zelanda
Oman
Pakistan
Palau
Panama
Papua Nueva Guinea
Paraguay
Peru
Polinesia Francesa
Polonia
Portugal
Puerto Rico
Qatar
Reino Unido
Rep. Centroafricana
Rep. Checa
Rep. Dominicana
Ruanda
Rumania
Rusia
Sahara Occidental
Samoa
San Marino
Sao Tome y Principe
Senegal
Seychelles
Sierra Leona
Singapur
Siria
Somalia
Sri Lanka
St. Vicent y Grenadines
St.Kitts & Nevis
Sudan
Suecia
Suiza
Sur Georgia e I. Sandwich
Surafrica
Surinam
Swazilandia
Tailandia
Taiwan
Tajikistan
Tanzania
Togo
Tonga
Trinidad y Tobago
Tunez
Turkmenistan
Turquia
Tuvalu
Ucrania
Uganda
Uruguay
Uzbekistan
Vanuatu
Vaticano
Venezuela
Vietnam
Yemen
Yibuti
Yugoslavia
Zaire
Zambia
Zimbabwe
